Player,Tm,Salary,Signed Using,Guaranteed,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jalen Smith,PHO,4245720,1st Round Pick,$8703720,PF,20.0,15.0,0.0,4.4,0.5,1.4,0.381,0.1,0.6,0.222,0.4,0.8,0.5,0.429,0.1,0.2,0.33299999999999996,0.3,0.7,1.0,0.1,0.0,0.1,0.2,0.5,1.3,5.8,0.426,0.429,0.14300000000000002,8.7,16.5,12.7,4.0,0.0,2.7,11.8,17.1,-0.1,0.1,0.0,-0.012,-4.3,-1.4,-5.7,-0.1
Cameron Johnson,PHO,4235160,1st Round Pick,$8672160,PF,24.0,39.0,9.0,23.4,3.5,8.0,0.434,2.0,5.4,0.373,1.4,2.5,0.5660000000000001,0.561,0.8,0.9,0.865,0.5,2.7,3.3,1.4,0.6,0.3,0.7,1.4,9.8,12.5,0.5820000000000001,0.687,0.11699999999999999,2.6,12.6,7.7,7.9,1.2,1.3,8.0,17.2,0.9,1.1,2.0,0.102,0.6,-0.3,0.3,0.5
Reggie Bullock,NYK,4200000,Room Exception,$1000000,SF,29.0,40.0,39.0,27.6,3.3,7.9,0.414,2.0,5.2,0.386,1.3,2.7,0.467,0.541,0.6,0.7,0.862,0.3,3.1,3.4,1.3,0.7,0.2,0.8,2.3,9.1,9.3,0.5589999999999999,0.659,0.092,1.1,12.0,6.6,7.0,1.3,0.7,8.4,14.2,0.6,1.3,1.9,0.08199999999999999,-2.0,0.4,-1.6,0.1
Shai Gilgeous-Alexander,OKC,4141320,1st Round Pick,$9636852,SG,22.0,35.0,35.0,33.7,8.2,16.1,0.508,2.0,4.9,0.418,6.2,11.3,0.547,0.5710000000000001,5.3,6.5,0.8079999999999999,0.5,4.2,4.7,5.9,0.8,0.7,3.0,2.0,23.7,21.9,0.623,0.301,0.405,1.7,13.0,7.4,31.0,1.1,1.7,13.7,28.4,2.7,1.1,3.8,0.156,3.8,0.0,3.8,1.7
John Collins,ATL,4137302,1st Round Pick,$4137302,PF,23.0,46.0,46.0,30.6,7.2,13.2,0.544,1.3,3.4,0.382,5.8,9.7,0.6,0.593,2.8,3.3,0.8370000000000001,2.1,5.7,7.8,1.3,0.5,1.1,1.2,3.3,18.4,20.7,0.63,0.259,0.252,7.7,20.2,14.0,7.7,0.9,3.0,7.7,22.4,3.8,1.3,5.2,0.175,2.5,-0.4,2.1,1.5
Nicolò Melli,DAL,4097561,Room Exception,$4097561,PF,30.0,23.0,0.0,11.0,0.8,2.7,0.28600000000000003,0.3,1.7,0.184,0.5,1.1,0.44,0.341,0.3,0.3,0.857,0.6,2.0,2.6,1.1,0.4,0.0,0.3,1.2,2.1,7.1,0.371,0.603,0.111,6.3,20.2,13.3,12.0,1.9,0.4,9.6,12.4,-0.1,0.2,0.1,0.015,-4.5,0.6,-3.9,-0.1
Devin Vassell,SAS,4033440,1st Round Pick,$8268600,SF,20.0,37.0,1.0,17.1,1.8,4.5,0.41200000000000003,0.9,2.3,0.41200000000000003,0.9,2.2,0.413,0.518,0.7,0.8,0.867,0.5,2.6,3.1,1.0,0.9,0.3,0.4,1.4,5.3,11.9,0.5529999999999999,0.515,0.182,2.8,16.3,9.4,7.8,2.5,1.5,7.8,13.3,0.4,0.9,1.3,0.099,-1.9,1.6,-0.3,0.3
P.J. Washington,CHO,4023600,1st Round Pick,$8238720,PF,22.0,41.0,41.0,29.9,4.3,9.7,0.441,1.4,3.6,0.381,2.9,6.1,0.47600000000000003,0.511,2.0,2.6,0.7759999999999999,1.5,5.1,6.7,2.8,1.0,1.3,2.2,2.8,11.9,12.9,0.55,0.371,0.266,5.4,18.8,12.1,13.3,1.6,4.2,17.3,18.6,0.2,1.5,1.7,0.065,-1.8,0.5,-1.3,0.2
Willie Cauley-Stein,DAL,4000000,MLE,$8200000,C,27.0,35.0,11.0,17.1,2.3,3.6,0.622,0.0,0.2,0.125,2.2,3.4,0.655,0.626,0.9,1.4,0.66,1.1,3.1,4.3,0.7,0.3,0.8,0.5,2.3,5.5,14.7,0.644,0.063,0.39399999999999996,7.5,19.8,13.7,6.0,0.9,4.4,9.7,12.2,1.2,0.7,1.8,0.14800000000000002,-1.8,0.7,-1.1,0.1
Dorian Finney-Smith,DAL,4000000,Bird Rights,$8000000,PF,27.0,34.0,34.0,31.2,3.1,7.1,0.43799999999999994,1.6,4.5,0.35100000000000003,1.5,2.6,0.591,0.55,0.6,0.7,0.84,1.5,3.6,5.1,1.6,0.9,0.4,0.6,2.6,8.4,10.3,0.5670000000000001,0.636,0.10300000000000001,5.4,12.4,8.9,6.7,1.3,1.1,8.0,11.5,1.2,0.8,1.9,0.087,-1.1,-0.4,-1.5,0.1
